"Subject" "Activity_Label" "Variable" "Mean_of_Variable"
1 "WALKING" "tBodyAcc-mean()-X" 0.265696920582133
3 "WALKING" "tBodyAcc-mean()-X" 0.273428719636364
5 "WALKING" "tBodyAcc-mean()-X" 0.279177960301325
6 "WALKING" "tBodyAcc-mean()-X" 0.269434151902542
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.280179098426966
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270211697814935
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270759063295374
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.27658531139557
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.274638681518987
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.268742494553279
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27821340725
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277887440374317
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277950050208333
17 "SITTING" "tBodyAcc-mean()-X" 0.27344147274375
19 "SITTING" "tBodyAcc-mean()-X" 0.269723487105556
21 "SITTING" "tBodyAcc-mean()-X" 0.277466525522059
22 "SITTING" "tBodyAcc-mean()-X" 0.279241531908081
22 "STANDING" "tBodyAcc-mean()-X" 0.267565895829268
23 "STANDING" "tBodyAcc-mean()-X" 0.273493254730108
25 "STANDING" "tBodyAcc-mean()-X" 0.275301467772127
26 "STANDING" "tBodyAcc-mean()-X" 0.2730365808625
27 "STANDING" "tBodyAcc-mean()-X" 0.275223067435897
27 "LAYING" "tBodyAcc-mean()-X" 0.277798919328859
28 "LAYING" "tBodyAcc-mean()-X" 0.277532554764398
29 "LAYING" "tBodyAcc-mean()-X" 0.279111521944767
30 "LAYING" "tBodyAcc-mean()-X" 0.276305836721932
2 "WALKING" "tBodyAcc-mean()-X" 0.27311311578808
4 "WALKING" "tBodyAcc-mean()-X" 0.277034464752577
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.269685855146341
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270313841621528
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.2792260805
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.276238831213675
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.272145794677419
12 "SITTING" "tBodyAcc-mean()-X" 0.275639357761194
13 "SITTING" "tBodyAcc-mean()-X" 0.275895876198777
18 "SITTING" "tBodyAcc-mean()-X" 0.27795824
18 "STANDING" "tBodyAcc-mean()-X" 0.276177377784431
20 "STANDING" "tBodyAcc-mean()-X" 0.268595205636364
20 "LAYING" "tBodyAcc-mean()-X" 0.268210689679487
24 "LAYING" "tBodyAcc-mean()-X" 0.276767046391076
1 "WALKING" "tBodyAcc-mean()-Y" -0.0182981725176081
3 "WALKING" "tBodyAcc-mean()-Y" -0.017856067384956
